CNES,NOME,EQUIPES,ENDERECO,BAIRRO
24 - BARRA DA TIJUCA,128,SMS COORD DE EMERGENCIA REGIONAL CER BARRA - AP 40,AVENIDA AYRTON SENNA, 2000
13 - MEIER,71,SMS CF EMYGDIO ALVES COSTA FILHO - AP 32,RUA DO LAZER, 153
17 - BANGU,142,SMS UPA 24H SENADOR CAMARA - AP 51,AVENIDA SANTA CRUZ, 6486
22 - ANCHIETA,108,SMS CF MARIA DE AZEVEDO RODRIGUES PEREIRA - AP 33,PRACA PROFESSORA SANTINHA, S/N
13 - MEIER,60,SMS CF EDNEY CANAZARO DE OLIVEIRA - AP 32,AVENIDA MARECHAL RONDOM C/RUA ANTUNES GARCIA, S/N
24 - BARRA DA TIJUCA,127,SMS CMS ITANHANGA - AP 40,ESTRADA DO ITANHANGA, 270
25 - PAVUNA,114,SMS CF EPITACIO SOARES REIS - AP 33,AV CHISOSTOMO PIMENTEL DE OLIVEIRA, S/N
20 - ILHA DO GOVERNADOR,104,SMS CF ASSIS VALENTE - AP 31,EST. DAS CANARIAS COM AV. BRAS CRISPIN (PRACA), S/N
28 - JACAREZINHO,155,SMS CF ANTHIDIO DIAS DA SILVEIRA - AP 32,AVENIDA DOM HELDER CAMARA, S/N
12 - INHAUMA,53,SMS CF BARBARA STARFIELD - AP 32,RUA VOLTA GRANDE, S/N
17 - BANGU,142,SMS CF KELLY CRISTINA DE SA LACERDA SILVA - AP 51,AVENIDA CARLOS SAMPAIO CORREA, S/N
33 - REALENGO,139,SMS CF PADRE JOHN CRIBBIN (PADRE JOAO) - AP 51,ESTRADA MANOEL NOGUEIRA DE SA, S/N
17 - BANGU,141,SMS CF MARIO DIAS ALENCAR - AP 51,RUA MUCURIPE, S/N
14 - IRAJA,72,SMS CF ANA MARIA CONCEICAO DOS SANTOS CORREIA - AP 33,RUA QUATRO, S/N
3 - RIO COMPRIDO,6,SMS CF SERGIO VIEIRA DE MELLO - AP 10,AVENIDA TRINTA E UM DE MARCO, S/N
33 - REALENGO,139,SMS CF NILDO EYMAR DE ALMEIDA AGUIAR - AP 51,ESTRADA GENERAL AMERICANO FREIRE, S/N
12 - INHAUMA,55,SMS CF BIBI VOGEL - AP 32,ESTRADA ADHEMAR BEBIANO, 3686
12 - INHAUMA,53,SMS CF SERGIO NICOLAU AMIN - AP 32,PRACA DA CONFEDERACAO SUICA, S/N
17 - BANGU,141,SMS CMS MANOEL GUILHERME DA SILVEIRA FILHO - AP 51,AV RIBEIRO DANTAS, 571
19 - SANTA CRUZ,150,SMS UPA 24 H SEPETIBA - AP 53,RUA RAFAEL FERREIRA, S/N
12 - INHAUMA,54,SMS CMS RODOLPHO ROCCO - AP 32,RUA LAGOA VERDE, S/N
16 - JACAREPAGUA,124,SMS CMS NEWTON BETHLEM - AP 40,RUA BARAO, 260
16 - JACAREPAGUA,115,SMS CF OTTO ALVES DE CARVALHO - AP 40,AVENIDA ENGENHEIRO SOUZA FILHO, 200
16 - JACAREPAGUA,117,SMS CF PADRE JOSE DE AZEVEDO TIUBA - AP 40,RUA ACAPORI, S/N
31 - VIGARIO GERAL,48,SMS CF JOAOSINHO TRINTA - AP 31,RUA ANAMA - PRACA JOSE DA MATTA, S/N
19 - SANTA CRUZ,148,SMS UPA 24 H PACIENCIA - AP 53,ESTRADA SANTA EUGENIA, S/N
15 - MADUREIRA,90,SMS CF MAESTRO CELESTINO - AP 33,RUA LOURENCO MARQUES, 70
19 - SANTA CRUZ,149,SMS COORDENACAO DE EMERGENCIA REGIONAL CER SANTA CRUZ,RUA DO PRADO, 325
19 - SANTA CRUZ,149,SMS HOSPITAL MUNICIPAL PEDRO II - AP 53,RUA DO PRADO, 325
22 - ANCHIETA,106,SMS CF RAIMUNDO ALVES NASCIMENTO - AP 33,RUA MARCOS DE MACEDO, S/N
2 - CENTRO,5,SMS MATERNIDADE MARIA AMELIA BUARQUE DE HOLLANDA - AP 10,RUA MONCORVO FILHO, 67
18 - CAMPO GRANDE,143,SMS CF SONIA MARIA FERREIRA MACHADO - AP 52,ESTRADA DA POSSE, S/N
18 - CAMPO GRANDE,144,SMS CF ANTONIO GONCALVES VILLA SOBRINHO - AP 52,ESTRADA DO CAMPINHO, 2899
17 - BANGU,141,SMS HOSPITAL MUNICIPAL DA MULHER MARISKA RIBEIRO - AP 51,PRACA 1 DE MAIO, S/N
4 - BOTAFOGO,20,SMS CAPSI MAURICIO DE SOUSA - AP 21,AVENIDA VENCESLAU BRAS, 65
13 - MEIER,58,SMS CF CARIOCA - AP 32,RUA BERGAMO, 320
30 - COMPLEXO DA MARE,157,SMS CAPSI VISCONDE DE SABUGOSA - AP 31,AV.GUANABARA, S/N
24 - BARRA DA TIJUCA,128,SMS PADI LOURENCO JORGE - AP 40,AV AYRTON SENNA, 2000
19 - SANTA CRUZ,149,SMS CENTRO DE CONTROLE DE ZOONOSES - AP53,LARGO DO BODEGAO, 150
16 - JACAREPAGUA,122,SMS CAPS AD III ANTONIO CARLOS MUSSUM - AP 40,AVENIDA SAMPAIO CORREA, 0
25 - PAVUNA,114,SMS CF MANOEL FERNANDES DE ARAUJO - AP 33,RUA LAUDO DE CAMARGO, S/N
33 - REALENGO,138,SMS UPA 24H MAGALHAES BASTOS - AP 51,ESTRADA MANOEL NOGUEIRA DE SA, S/N
20 - ILHA DO GOVERNADOR,103,SMS COORD DE EMERGENCIA REGIONAL CER ILHA DO GOV - AP 31,ESTRADA DO GALEAO, 2920
15 - MADUREIRA,90,SMS CF DANTE ROMANO JUNIOR - AP 33,RUA CAROLINA MACHADO, S/N
15 - MADUREIRA,86,SMS UPA 24H ROCHA MIRANDA - AP 33,ESTRADA DO BARRO VERMELHO, S/N
19 - SANTA CRUZ,149,SMS PADI PEDRO II - AP 53,RUA DO PRADO, 325
14 - IRAJA,76,SMS PADI FRANCISCO DA SILVA TELLES - AP 33,AVENIDA UBIRAJARA, 25
15 - MADUREIRA,83,SMS CAPSI HEITOR VILLA LOBOS - AP 33,RUA PADRE MANSO, S/N
19 - SANTA CRUZ,149,SMS CAPS AD JULIO CESAR DE CARVALHO - AP 53,RUA SEVERIANO DAS CHAGAS, 196
15 - MADUREIRA,79,SMS CF CARLOS NERY DA COSTA FILHO - AP 33,RUA CLARIMUNDO DE MELO, 847
20 - ILHA DO GOVERNADOR,103,SMS HOSPITAL MUNICIPAL EVANDRO FREIRE - AP 31,ESTRADA DO GALEAO, 2920
8 - TIJUCA,32,SMS CMS HELIO PELLEGRINO - AP 22,RUA DO MATOSO, 96
1 - PORTUARIA,2,SMS CF NELIO DE OLIVEIRA - AP 10,RUA RIVADAVIA CORREA, 188
10 - RAMOS,40,SMS CAPS AD MIRIAM MAKEBA - AP 31,RUA PROFESSOR LACE, 485
9 - VILA ISABEL,36,SMS CF PEDRO ERNESTO - AP 22,RUA VINTE E OITO DE SETEMBRO, 109
15 - MADUREIRA,85,SMS CAPS AD III PAULO DA PORTELA - AP 33,RUA PIRAPORA, 69
33 - REALENGO,139,SMS CF FAIM PEDRO - AP 51,RUA MARECHAL AGRICOLA, S/N
18 - CAMPO GRANDE,145,SMS CF EVERTON DE SOUZA SANTOS - AP 52,ESTRADA DE MORICABA, S/N
17 - BANGU,142,SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51,AVENIDA SANTA CRUZ, S/N
20 - ILHA DO GOVERNADOR,100,SMS CMS NEWTON ALVES CARDOZO - AP 31,RUA DR ANTONIO MONTEIRO ANTIGA RUA COMBU, 191
20 - ILHA DO GOVERNADOR,93,SMS CMS PAULINO WERNECK - AP 31,ESTRADA DA CACUIA, 745
24 - BARRA DA TIJUCA,128,SMS CF JOSE DE SOUZA HERDY - AP 40,AVENIDA AYRTON SENNA, 2200
17 - BANGU,162,SMS CF WILSON MELLO SANTOS ( ZICO) - AP51,ESTRADA SARGENTO MIGUEL FILHO, S/N
4 - BOTAFOGO,20,SMS CAPS FRANCO BASAGLIA AP 21,AV. VENCESLAU BRAS, 65
25 - PAVUNA,112,SMS CF ADOLFO FERREIRA DE CARVALHO - AP 33,ESTRADA JOAO PAULO, 1007
16 - JACAREPAGUA,116,SMS CF BARBARA MOSLEY DE SOUZA- AP 40,AVENIDA OTAVIO MALTA, S/N
16 - JACAREPAGUA,115,SMS CF HELENA BESSERMAN VIANNA - AP 40,VIA LIGHT, S/N
18 - CAMPO GRANDE,144,SMS CF ISABELA SEVERO DA SILVA - AP 52,RUA VOTORANTIM, 664
19 - SANTA CRUZ,149,SMS CF ALICE DE JESUS REGO - AP53,ESTRADA DOS PALMARES, S/N
19 - SANTA CRUZ,146,SMS CF LECY RANQUINE- AP 52,ESTRADA DO CAMPINHO, S/N
17 - BANGU,142,SMS CAPS NEUSA SANTOS SOUZA - AP 51,RUA BAALBECK, 75
31 - VIGARIO GERAL,46,SMS CF EIDIMIR THIAGO DE SOUZA - AP 31,RUA CORDOVIL, 1242
13 - MEIER,70,SMS CF LUIZ CELIO PEREIRA - AP 32,RUA DA ABOLICAO, 303
4 - BOTAFOGO,20,SMS CMS ROCHA MAIA - AP 21,RUA GENERAL SEVERIANO, 91
16 - JACAREPAGUA,115,SMS CF MAICON SIQUEIRA - AP 40,AVENIDA SALVADOR ALLENDE, S/N
16 - JACAREPAGUA,124,SMS CF GERSON BERGHER - AP 40,RUA CANDIDO BENICIO, S/N
33 - REALENGO,135,SMS CF IVANIR DE MELLO - AP 33,ESTRADA MARECHAL ALENCASTRO, S/N
31 - VIGARIO GERAL,46,SMS CF NILDA CAMPOS DE LIMA - AP 31,RUA OLIVEIRA MELO, S/N
33 - REALENGO,139,SMS CF ROGERIO PINTO DA MOTA - AP 51,RUA MAGALHAES GANDAVO - PRACA DO BOM CONSELHO, 204
28 - JACAREZINHO,155,SMS CAPS CARLOS AUGUSTO DA SILVA - MAGAL - AP 31,AVENIDA DOM HELDER CAMARA, 1184
13 - MEIER,69,SMS CF OLGA PEREIRA PACHECO - AP 32,RUA ANA QUINTAO, 348
16 - JACAREPAGUA,122,SMS CAPS III MANOEL DE BARROS - AP 40,RUA NOSSA SENHORA DOS REMEDIOS, S/N
7 - SAO CRISTOVAO,10,SMS CF ESTIVADORES - AP 10,AVENIDA DO EXERCITO, 99
15 - MADUREIRA,87,SMS CF ADERSON FERNANDES - AP 33,RUA URURAI, S/N
18 - CAMPO GRANDE,144,SMS CF MEDALHISTA OLIMPICO BRUNO SCHMIDT - AP 52,RUA MANOEL JULIAO DE MEDEIROS, S/N
18 - CAMPO GRANDE,144,SMS CF MEDALHISTA OLIMPICO ARTHUR ZANETTI - AP 52,AVENIDA MARECHAL DANTAS BARRETO, S/N
9 - VILA ISABEL,38,SMS CF ODALEA FIRMO DUTRA - AP 22,RUA BOTUCATU, 633
16 - JACAREPAGUA,115,SMS CMS ALVARO RAMOS - AP 40,AVENIDA ADAUTO BOTELHO, S/N
15 - MADUREIRA,81,SMS CF MESTRE MOLEQUINHO DO IMPERIO - AP 33,RUA IGUACU, S/N
20 - ILHA DO GOVERNADOR,96,SMS CF WILMA COSTA - AP 31,PARQUE POETA MANUEL BANDEIRA, S/N
10 - RAMOS,42,SMS CF KLEBEL DE OLIVEIRA ROCHA - AP 31,PRACA CLOMIR TELES CERBINO, S/N
25 - PAVUNA,110,SMS CF CYPRIANO DAS CHAGAS MEDEIROS - AP 33,RUA JUMIRIM, 87
7 - SAO CRISTOVAO,12,SMS CF MEDALHISTA OLIMPICO MAURICIO SILVA AP 10,AVENIDA CARLOS MATOSO CORREIA, S/N
3 - RIO COMPRIDO,9,SMS CF MEDALHISTA OLIMPICO RICARDO LUCARELLI SOUZA AP 10,RUA FREI CANECA, S/N
12 - INHAUMA,54,SMS CAPS III OSWALDO DOS SANTOS - AP 32,RUA LAGOA CLARA, S/N
13 - MEIER,67,SMS CF AMELIA DOS SANTOS FERREIRA - AP 32,RUA POMPILIO DE ALBUQUERQUE, 386
10 - RAMOS,41,SMS CF VALTER FELISBINO DE SOUZA - AP 31,RUA DIOMEDES TROTA, 259
11 - PENHA,75,SMS CF CANDIDO RIBEIRO DA SILVA FILHO - AP 33,AVENIDA SAO FELIX, 201
16 - JACAREPAGUA,115,SMS CF JOSE NEVES - AP 40,RUA QUINTANILHA SN,
14 - IRAJA,76,SMS CF AMAURY BOTTANY - AP 33,AV MONSENHOR FELIX, 512
13 - MEIER,63,SMS CF ERIVALDO FERNANDES NOBREGA - AP 32,RUA RIO GRANDE DO SUL, 26
14 - IRAJA,76,SMS CF DEPUTADO PEDRO FERNANDES FILHO - AP 33,PRACA NOSSA SENHORA DA APRESENTACAO, S/N
18 - CAMPO GRANDE,144,SMS COORDENACAO DE EMERGENCIA REGIONAL CER CAMPO GRANDE,AVENIDA CESARIO DE MELO, 3215
4 - BOTAFOGO,20,SMS POLICLINICA ROCHA MAIA AP 21,RUA GENERAL SEVERIANO, 91
18 - CAMPO GRANDE,144,SMS CF MARIA JOSE PAPERA DE AZEVEDO - AP 52,ESTRADA DA POSSE, S/N
33 - REALENGO,139,SMS CF ROMULO CARLOS TEIXEIRA - AP 51,PRACA MAROBA, S/N
30 - COMPLEXO DA MARE,157,SMS CF DINIZ BATISTA DOS SANTOS - AP 31,AVENIDA BRIGADEIRO TROMPOWSKY, S/N
11 - PENHA,43,SMS CMS JOSE PARANHOS FONTENELLE - AP 31,RUA LEOPOLDINA REGO, 700
30 - COMPLEXO DA MARE,157,SMS CF JEREMIAS MORAES DA SILVA - AP 31,RUA TEIXEIRA RIBEIRO, S/N
13 - MEIER,66,SMS CAPS II EAT SEVERINO DOS SANTOS - AP 32,RUA RAMIRO MAGALHAES 521,
33 - REALENGO,139,SMS COORD DE EMERGENCIA REGIONAL CER REALENGO - AP 51,RUA NILOPOLIS, 329
18 - CAMPO GRANDE,144,SMS CF DR MYRTES AMORELLI GONZAGA - AP 52,ESTRADA DO LAMEIRAO PEQUENO S/N RIO DA PRATA,
